Player,Score Vector,Predicted Price,Role,Foreigner
Jasprit Bumrah,3394,10.5,Bowler,0
Shikhar Dhawan,5021,10.5,Batsman,0
Yuzvendra Chahal,3329,10,Bowler,0
David Warner,4717,10,Batsman,1
Virat Kohli,4773,10,Batsman,0
Rashid Khan,2818,9.5,Bowler,1
KL Rahul,4157,9.5,Batsman,0
Rishabh Pant,3923,9,Batsman,0
Jos Buttler,4048,9,Batsman,1
Sanju Samson,3797,9,Batsman,0
Bhuvneshwar Kumar,2334,9,Bowler,0
AB de Villiers,3708,8.5,Batsman,1
Mohammad Shami,2275,8.5,Bowler,0
Kagiso Rabada,2535,8.5,Bowler,1
Trent Boult,2085,8.5,Bowler,1
Shreyas Iyer,3117,8.5,Batsman,0
Suryakumar Yadav,3216,8.5,Batsman,0
Rohit Sharma,3427,8.5,Batsman,0
Axar Patel,1789,8,Bowler,0
Sunil Narine,1964,8,Bowler,1
Sandeep Sharma,1889,8,Bowler,0
Shardul Thakur,2035,8,Bowler,0
Kane Williamson,2805,8,Batsman,1
Dinesh Karthik,2934,8,Batsman,0
Ambati Rayudu,2991,8,Batsman,0
Quinton de Kock,2748,8,Batsman,1
Ajinkya Rahane,2527,8,Batsman,0
Ishan Kishan,2581,8,Batsman,0
MS Dhoni,2650,8,Batsman,0
Andre Russell,1861,8,Bowler,1
Nitish Rana,3052,8,Batsman,0
Umesh Yadav,1795,8,Bowler,0
Dwayne Bravo,1960,8,Bowler,1
Chris Gayle,2591,7.5,Batsman,1
Krunal Pandya,1529,7.5,Bowler,0
Ravindra Jadeja,1579,7.5,Bowler,0
Mohammed Siraj,1485,7.5,Bowler,0
Jaydev Unadkat,1491,7.5,Bowler,0
Chris Morris,1705,7.5,Bowler,1
Kuldeep Yadav,1555,7.5,Bowler,0
Deepak Chahar,1495,7.5,Bowler,0
Harshal Patel,1711,7.5,Bowler,0
Ravichandran Ashwin,1689,7.5,Bowler,0
Rahul Chahar,1439,7.5,Bowler,0
Robin Uthappa,2722,7.5,Batsman,0
Rahul Tripathi,2462,7.5,Batsman,0
Suresh Raina,2506,7.5,Batsman,0
Shubman Gill,2561,7.5,Batsman,0
Faf du Plessis,2565,7.5,Batsman,0
Manish Pandey,2759,7.5,Batsman,0
Piyush Chawla,1200,7,Bowler,0
Steve Smith,2023,7,Batsman,1
Prasidh Krishna,1231,7,Bowler,0
Mitchell McClenaghan,1335,7,Bowler,1
Mustafizur Rahman,1154,7,Bowler,1
Hardik Pandya,1225,7,Bowler,0
Jofra Archer,1154,7,Bowler,1
Wriddhiman Saha,1842,7,Batsman,0
Mayank Agarwal,2157,7,Batsman,0
Jonny Bairstow,1840,7,Batsman,1
Kieron Pollard,2287,7,Batsman,1
Shane Watson,2137,7,Batsman,1
Glenn Maxwell,2185,7,Batsman,1
Prithvi Shaw,2265,7,Batsman,0
Amit Mishra,1399,7,Bowler,0
Siddarth Kaul,1306,7,Bowler,0
Imran Tahir,1474,7,Bowler,1
Ruturaj Gaikwad,1686,6.5,Batsman,0
Varun Chakaravarthy,1070,6.5,Bowler,0
Jason Holder,1160,6.5,Bowler,1
Arshdeep Singh,1020,6.5,Bowler,0
Shreyas Gopal,1060,6.5,Bowler,0
Khaleel Ahmed,1200,6.5,Bowler,0
Harbhajan Singh,1004,6.5,Bowler,0
Avesh Khan,1185,6.5,Bowler,0
Parthiv Patel,1524,6.5,Batsman,0
David Miller,1469,6.5,Batsman,1
Aaron Finch,1653,6.5,Batsman,1
Gautam Gambhir,1476,6.5,Batsman,0
Devdutt Padikkal,1732,6.5,Batsman,0
Chris Lynn,1814,6.5,Batsman,1
Pat Cummins,1085,6.5,Bowler,1
Dhawal Kulkarni,785,6,Bowler,0
Yusuf Pathan,1071,6,Batsman,0
Nathan Coulter-Nile,764,6,Bowler,1
Anrich Nortje,1075,6,Bowler,1
Andrew Tye,1096,6,Bowler,1
Washington Sundar,829,6,Bowler,0
Sam Curran,806,6,Bowler,1
Shakib Al Hasan,629,6,Bowler,1
Mohit Sharma,871,6,Bowler,0
Wanindu Hasaranga,684,6,Bowler,1
Rahul Tewatia,956,6,Batsman,0
Karun Nair,1325,6,Batsman,0
Moeen Ali,1279,6,Batsman,1
Brendon McCullum,1124,6,Batsman,1
Umran Malik,630,6,Bowler,0
Deepak Hooda,1426,6,Batsman,0
Shimron Hetmyer,1135,6,Batsman,1
Nicholas Pooran,1259,6,Batsman,1
Ravi Bishnoi,929,6,Bowler,0
Murugan Ashwin,879,6,Bowler,0
Lasith Malinga,691,6,Bowler,1
T Natarajan,950,6,Bowler,0
Ben Stokes,1230,6,Batsman,1
Lockie Ferguson,910,6,Bowler,1
Tim Southee,871,6,Bowler,1
Chris Jordan,656,6,Bowler,1
Shivam Mavi,760,6,Bowler,0
Shivam Dube,928,6,Batsman,0
Chris Woakes,750,6,Bowler,1
Marcus Stoinis,1424,6,Batsman,1
Evin Lewis,934,6,Batsman,1
Eoin Morgan,979,6,Batsman,1
Navdeep Saini,496,5.5,Bowler,0
Mukesh Choudhary,406,5.5,Bowler,0
Zaheer Khan,504,5.5,Bowler,0
Mohammad Nabi,335,5.5,Bowler,1
Mujeeb Ur Rahman,475,5.5,Bowler,1
Mayank Markande,435,5.5,Bowler,0
Praveen Kumar,375,5.5,Bowler,0
Liam Livingstone,794,5.5,Batsman,1
Faf Du Plessis,639,5.5,Batsman,1
Moises Henriques,643,5.5,Batsman,1
Dwayne Smith,827,5.5,Batsman,1
Saurabh Tiwary,599,5.5,Batsman,0
Shaun Marsh,582,5.5,Batsman,1
Rajat Patidar,575,5.5,Batsman,0
Tilak Varma,531,5.5,Batsman,0
Sarfaraz Khan,562,5.5,Batsman,0
Mandeep Singh,987,5.5,Batsman,0
Manoj Tiwary,501,5.5,Batsman,0
Vijay Shankar,941,5.5,Batsman,0
Abhishek Sharma,898,5.5,Batsman,0
Yuvraj Singh,902,5.5,Batsman,0
Aiden Markram,708,5.5,Batsman,1
Quinton De Kock,729,5.5,Batsman,1
Yashasvi Jaiswal,771,5.5,Batsman,0
Manan Vohra,694,5.5,Batsman,0
Riyan Parag,692,5.5,Batsman,0
Kedar Jadhav,805,5.5,Batsman,0
Hashim Amla,838,5.5,Batsman,1
Venkatesh Iyer,777,5.5,Batsman,0
Basil Thampi,542,5.5,Bowler,0
Shahbaz Nadeem,475,5.5,Bowler,0
Ashish Nehra,425,5.5,Bowler,0
Dan Christian,475,5.5,Bowler,1
Kartik Tyagi,346,5.5,Bowler,0
Varun Aaron,371,5.5,Bowler,0
Sreenath Aravind,400,5.5,Bowler,0
Pawan Negi,521,5.5,Bowler,0
Barinder Sran,446,5.5,Bowler,0
Daniel Sams,364,5.5,Bowler,1
Chetan Sakariya,429,5.5,Bowler,0
Ankit Rajpoot,591,5.5,Bowler,0
Ishant Sharma,425,5.5,Bowler,0
Adam Zampa,549,5.5,Bowler,0
Karn Sharma,581,5.5,Bowler,0
Krishnappa Gowtham,450,5.5,Bowler,0
Tim David,263,5,Batsman,1
Colin Munro,243,5,Batsman,1
Naman Ojha,250,5,Batsman,0
K.S Bharat,249,5,Batsman,0
Dewald Brevis,230,5,Batsman,1
Colin Ingram,243,5,Batsman,1
Isuru Udana,196,5,Bowler,1
Lendl Simmons,216,5,Batsman,1
Romario Shepherd,85,5,Batsman,1
Abhinav Manohar,153,5,Batsman,0
Sherfane Rutherford,132,5,Batsman,0
Anuj Rawat,172,5,Batsman,0
D'Arcy Short,156,5,Batsman,1
Alex Hales,196,5,Batsman,1
Sai Sudharsan,196,5,Batsman,0
Sachin Baby,170,5,Batsman,0
Tom Banton,15,5,Batsman,1
B Indrajith,17,5,Batsman,0
Shahrukh Khan,357,5,Batsman,0
Jason Roy,462,5,Batsman,1
Devon Conway,370,5,Batsman,1
Murali Vijay,763,5,Batsman,0
Vishnu Vinod,16,5,Batsman,0
Prayas Ray Barman,15,5,Batsman,0
Mahipal Lomror,348,5,Batsman,0
